pathway	SL1	SL2	SL3	SL4	SL5	SL6	SL7	SL8	SL9	SL10	SL11	SL12	SL13	SL14	SL15	SL16	SL17	SL18	SL19	SL20	SL21
DTDPRHAMSYN-PWY	10292.5083	10385.0214	10291.4712	10348.3297	8725.9779	8305.6448	9399.4151	10848.4308	9039.887	9605.6502	9758.2799	9994.3314	9443.3784	10334.5801	11602.1476	12293.5314	12397.8586	12063.3778	11842.2216	11234.6757	12159.2917
FAO-PWY	11144.031	13875.3411	13350.9798	13733.2794	11580.0744	10745.8993	12440.9586	12121.0331	9136.7387	8884.1682	7446.7495	6630.4031	5272.7592	7564.8138	9551.7651	9938.9599	10249.0872	8782.9136	8485.0428	5745.2096	10489.8025
FASYN-ELONG-PWY	23737.0937	24785.206	24297.6775	24516.7065	19071.0232	17610.4548	21093.7689	18026.268	19483.9825	20293.0536	20876.5468	19159.4542	19174.0196	18367.4396	21089.3033	22505.3921	22320.0589	22715.2828	22108.9455	23302.5917	20803.1082
FASYN-INITIAL-PWY	11367.6805	11139.4552	11003.116	10950.1946	9291.3567	8588.5405	9685.0997	8168.5591	9882.2159	10125.3683	10829.0866	10182.2521	10155.4575	9954.0104	10819.5751	11383.4584	11267.3594	11654.0954	11084.2602	11699.6815	10180.8262
FERMENTATION-PWY	888.4326	915.104	943.2972	888.7799	2596.8477	2797.4349	2280.9164	2992.4488	2623.9177	2430.8631	1890.8918	3371.4773	2827.4328	4259.7744	415.4391	75.8733	55.8763	140.7712	4552.2214	3572.6342	5336.8815
FOLSYN-PWY	8920.1952	8429.8629	8393.504	8334.2201	7943.6779	7555.6311	8265.0273	7389.4835	6923.977	6921.445	6636.2868	7943.2004	7631.233	8757.7211	5383.8239	2925.8374	2874.3085	2941.503	5468.8316	4785.2527	6077.4565
FUCCAT-PWY	101.2393	131.0628	140.0125	114.8244	224.8443	532.6971	460.4677	0.0	0.0	1.3391	0.0	883.1711	1206.2862	1129.0092	0.5665	0.0	0.0	3.161	795.6489	743.4945	913.1588
GALACT-GLUCUROCAT-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	863.8263	1738.7051	1667.189	1448.327	1873.7171	1996.1035	1260.8973	0.0	0.0	1.9796	0.495	0.495	0.0	0.0
GALACTARDEG-PWY	596.0164	297.4907	417.125	500.835	122.4305	21.7423	480.3086	3.9848	1.3372	2.6461	0.0	98.2483	20.3508	27.3873	113.8265	47.5469	81.9563	66.8224	21.1957	12.5682	33.7277
GALACTUROCAT-PWY	5020.907	5681.2589	5670.7529	5647.4692	3722.0848	3102.5064	3839.7952	3259.0014	4717.8571	5335.5712	5491.4354	4255.7586	4619.7682	2695.208	6318.9467	7357.404	7133.7022	7439.8832	7534.1709	8582.9078	6551.1756
GALLATE-DEGRADATION-I-PWY	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.33	0.67	1.33	1.0	0.0	0.33
GALLATE-DEGRADATION-II-PWY	0.67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33	1.33	0.67	1.33	1.0	0.0	0.33
GLCMANNANAUT-PWY	544.5245	280.3031	386.9518	452.0705	129.5646	29.9377	455.9633	0.0	0.0	1.6744	0.0	1051.6786	1220.0073	1291.6561	0.8249	0.0	0.0	4.9971	1294.4982	1161.4226	1470.6239
GLUCARGALACTSUPER-PWY	596.0164	297.4907	417.125	500.835	122.4305	21.7423	480.3086	3.9848	1.3372	2.6461	0.0	98.2483	20.3508	27.3873	113.8265	47.5469	81.9563	66.8224	21.1957	12.5682	33.7277
GLUCONEO-PWY	13220.4606	13317.1194	13096.165	13113.4125	10956.0575	10369.7537	11843.5349	10815.0032	10395.0364	10856.7794	11190.5671	11109.2861	11016.4401	11237.0627	12226.5902	12467.3255	12477.7798	12500.613	12387.4288	12392.1591	12203.362
GLUCOSE1PMETAB-PWY	271.4616	314.4275	333.481	267.0366	1080.2948	1296.7414	625.7431	1004.2291	804.9121	566.7518	451.5288	324.0129	141.6975	589.9225	654.3284	71.0483	56.9115	44.4495	60.835	32.3335	116.4481
GLUCUROCAT-PWY	4221.7153	4976.9163	4974.6283	4913.8283	3242.748	2684.9885	3156.057	3153.7033	4813.4	5395.0214	5508.0574	4412.4313	4813.9793	2787.7128	5943.119	7195.9012	6950.9835	7268.3731	7256.2909	8352.0426	6227.4901
GLUTORN-PWY	11129.6263	11380.9651	11194.6484	11231.6576	9599.3932	9262.5067	10321.4712	9708.6681	9379.3749	9894.774	10284.1519	9880.2276	9884.7348	9859.1201	11115.2345	12134.057	12114.9714	12067.6099	11950.3236	11952.5923	11816.1911
GLYCOCAT-PWY	3697.3412	4828.6183	4865.1996	4979.1036	4047.8347	4496.6862	4603.9795	2466.8248	2016.6208	1752.4799	1482.1202	2049.2216	1960.4488	2568.4837	2183.5074	2850.1678	2791.4121	2225.2643	2719.9431	2130.1475	3446.9258
GLYCOGENSYNTH-PWY	4994.1767	6166.7003	6264.0647	6403.3098	4553.0343	4732.5594	5381.39	4769.0872	5296.8989	6048.624	5969.8286	5053.1578	5404.1431	4327.9841	7301.7668	9538.3271	9311.5073	9138.6353	9394.4748	9781.6091	9133.9204
GLYCOLYSIS	8704.7758	8574.0858	8811.4627	8867.8824	7725.6769	7395.9367	8493.2098	7794.8499	8175.5848	8304.7607	8505.1359	8742.5213	8863.2475	8950.974	5567.2417	6884.7783	6853.4427	7010.4904	7159.3098	6990.5389	7227.183
GLYCOLYSIS-E-D	8913.1435	8665.2726	8802.08	8814.5845	7607.2704	7136.9702	8192.5018	6379.7766	7571.5119	7845.0072	8295.0803	8441.1158	8557.076	8436.34	6067.2643	7350.5131	7281.0742	7519.2984	7536.335	7600.7195	7335.3973
GLYCOLYSIS-TCA-GLYOX-BYPASS	6341.6484	6802.1877	6893.2079	6944.5382	6199.5693	5418.5002	6223.2929	4100.7045	3396.6195	2651.4829	2370.0946	2536.5474	1218.8788	2853.2492	3531.9463	5247.6699	5382.9401	5081.6779	4185.5062	2846.1077	4587.2649
GLYOXYLATE-BYPASS	10700.0172	11147.1427	10891.9072	10950.2164	9239.373	8755.4143	9867.0036	6505.6332	8537.5233	8766.7239	9438.3924	8877.7123	8892.3293	8555.3165	8535.9913	9351.7921	9217.2179	9638.2246	9064.1515	9780.8029	8217.3279
HEME-BIOSYNTHESIS-II	9760.3726	9560.9237	9408.0096	9360.8892	8052.2215	7369.0944	8296.4443	9472.43	8946.155	9377.9375	9710.11	9058.7392	8850.4544	9114.9285	10286.9925	10925.475	10935.475	10939.5249	10454.6211	10444.0911	10265.3236
HEMESYN2-PWY	11845.2613	11965.209	11841.7566	11905.3139	10083.5361	9624.9515	10887.3271	10834.6558	10233.4384	10732.0311	11107.524	10572.3786	10365.7581	10722.5544	11756.7388	12486.2277	12497.9559	12502.8326	12072.4974	12053.8617	11877.3842
HEXITOLDEGSUPER-PWY	294.0442	377.1858	402.1716	332.1569	621.1194	1189.8625	1162.4351	0.0	0.0	4.0026	0.0	762.3155	391.8367	664.7486	1.9737	0.0	0.0	11.6308	82.6085	54.5016	120.347
HISDEG-PWY	3401.8221	2696.9106	3038.0948	3056.5131	3321.313	2804.7719	3304.6177	6290.8869	4292.538	4137.6806	4335.0164	4473.5162	4084.5895	4776.5151	4105.1498	3907.6325	4227.9857	3900.0469	3478.1566	2270.9096	4317.2639
HISTSYN-PWY	10553.9077	10996.2996	10751.6546	10826.6925	9069.0139	8786.4221	9829.9433	9730.1771	8954.4556	9495.0683	9448.4113	9245.4263	9183.3933	9472.1657	10598.2066	11214.4258	11186.1473	11089.6886	11263.114	11341.0284	11168.1506
HOMOSER-METSYN-PWY	10254.0844	9745.9854	9571.692	9451.594	7750.8043	6686.3754	7963.469	3659.941	5597.2868	6322.1196	6739.64	6928.9516	7027.9292	6219.0358	7424.4295	8916.0046	8566.1989	8961.0851	8715.1912	10212.9612	7398.8713
HSERMETANA-PWY	6850.2698	7462.5656	7410.625	7360.6114	7226.7276	7845.451	8297.304	9771.5619	7685.0243	7713.3994	7699.5111	7428.3409	7256.5345	8413.7691	8897.1667	10263.2712	9999.4932	10159.5445	10159.3497	11230.6691	9138.9539
